Feature Identifier,Feature Name
http://opendatacommunities.org/id/geography/administration/lsoa/E01006765,Liverpool 020E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006766,Liverpool 019E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006767,Liverpool 019F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006768,Liverpool 020F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006769,Liverpool 040B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006770,Liverpool 040C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006771,Liverpool 040D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006772,Liverpool 040E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006773,Liverpool 036D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006774,Liverpool 036E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006775,Liverpool 040F
http://opendatacommunities.org/id/geography/administration/lsoa/E01006776,Liverpool 022B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006778,Liverpool 014E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006779,Liverpool 022D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006780,Liverpool 002D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006781,Liverpool 003A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006782,Liverpool 003B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006783,Liverpool 002E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006784,Liverpool 003C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006785,Liverpool 003D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006786,Liverpool 003E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006787,Liverpool 006A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006788,Liverpool 006B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006790,Liverpool 006C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006791,Liverpool 006D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006792,Liverpool 046A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006793,Liverpool 051A
http://opendatacommunities.org/id/geography/administration/lsoa/E01006794,Liverpool 046B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006795,Liverpool 051B
http://opendatacommunities.org/id/geography/administration/lsoa/E01006796,Liverpool 047E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006797,Liverpool 051C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006798,Liverpool 051D
http://opendatacommunities.org/id/geography/administration/lsoa/E01006799,Liverpool 051E
http://opendatacommunities.org/id/geography/administration/lsoa/E01006800,Liverpool 046C
http://opendatacommunities.org/id/geography/administration/lsoa/E01006801,Liverpool 046D
http://opendatacommunities.org/id/geography/administration/lsoa/E01032505,Liverpool 050F
http://opendatacommunities.org/id/geography/administration/lsoa/E01032506,Liverpool 050G
http://opendatacommunities.org/id/geography/administration/lsoa/E01032507,Liverpool 050H
http://opendatacommunities.org/id/geography/administration/lsoa/E01032508,Liverpool 027G
http://opendatacommunities.org/id/geography/administration/lsoa/E01032509,Liverpool 027H
http://opendatacommunities.org/id/geography/administration/lsoa/E01032510,Liverpool 008F
http://opendatacommunities.org/id/geography/administration/lsoa/E01032511,Liverpool 008G
http://opendatacommunities.org/id/geography/administration/lsoa/E01033747,Liverpool 018F
http://opendatacommunities.org/id/geography/administration/lsoa/E01033748,Liverpool 050I
